CODE_STATION,temp_moy_annuelle,cumul_pluv_annuel,precip_hiver,precip_ete,temp_min_hiver,temp_max_hiver,temp_min_ete,temp_max_ete,frequence_mois_secs,frequence_mois_tres_secs,X,Y
3,13.99594990907004,1050.4699999999998,296.55,116.3,2.1926706923036177,11.202365856242386,14.758731182795698,28.99615053763441,0.25833333333333336,0.15833333333333333,708753,6276139
6,15.136940438670834,619.7,184.3,90.9,3.2402220721436517,12.095175989194342,16.303541218637992,29.901863799283152,0.45,0.2833333333333333,678445,6246813
9,13.715575667187528,933.9199999999998,259.75,102.5,2.709526193124636,10.205150828963399,15.488824372759856,27.922344086021504,0.24166666666666667,0.16666666666666666,711813,6282363
11,15.309413431149249,837.0200000000001,255.54000000000002,93.52000000000001,4.501215371576885,11.810665554319614,17.58910394265233,28.8342688172043,0.35,0.24166666666666667,697003,6265742
13,15.502703843114924,553.52,166.4,69.49,3.5919503151649983,12.546684013983791,17.112698924731184,30.008200716845877,0.4666666666666667,0.3333333333333333,711939,6248801
18,14.938288085747832,695.05,194.0,96.1,3.0052335928809786,12.178250304571216,16.32727956989247,29.485125448028672,0.4166666666666667,0.325,711608,6268720
19,15.500782075983897,707.4,188.25,89.25,3.348932544096615,12.643109010011123,16.654964157706093,30.713806451612903,0.4166666666666667,0.31666666666666665,729298,6274986
22,9.363842945718641,1396.98,419.03999999999996,142.42000000000002,-0.7247943923583523,6.018496142097922,10.854903225806451,22.698776583034647,0.13333333333333333,0.075,688794,6280104
31,10.51809531644508,1040.92,263.6,129.70999999999998,-0.6323588378621748,7.026167964404894,12.112917562724014,24.940870967741937,0.175,0.11666666666666667,725262,6307566
32,15.110682955476843,653.9599999999999,180.63,88.92999999999999,3.0042624079665234,12.385729249430584,16.500623655913977,29.618666666666666,0.4166666666666667,0.3,707968,6256009
34,15.020948194201669,676.15,178.2,99.65,2.5272371417977646,12.824807193177605,15.886172043010752,29.91521863799283,0.4666666666666667,0.30833333333333335,705533,6261512
35,14.55283264363402,974.15,251.3,102.65,1.2223802902696117,11.932381217225489,15.397802867383513,30.85443010752688,0.325,0.20833333333333334,771794,6307307
39,12.280925456194712,1315.27,457.15,130.03,1.9271068382859262,8.506873872203682,14.102584229390681,25.714329749103943,0.15,0.1,675208,6266493
40,14.971308528435475,631.25,165.45,59.9,2.490484797923619,12.391173393717887,16.306921146953403,29.780881720430106,0.44166666666666665,0.36666666666666664,758295,6269713
41,14.611038932914493,695.75,189.85,101.8,3.9873024490059117,10.807464211442666,17.071483870967743,28.066254480286737,0.4083333333333333,0.275,714665,6273422
