CODE_STATION,temp_moy_annuelle,cumul_pluv_annuel,precip_hiver,precip_ete,temp_min_hiver,temp_max_hiver,temp_min_ete,temp_max_ete,frequence_mois_secs,frequence_mois_tres_secs,X,Y
3,14.061465431166905,1101.8600000000001,201.5,131.45999999999998,2.3609317230785525,11.602576672493246,14.144096774193548,29.395315412186378,0.25833333333333336,0.18333333333333332,708753,6276139
6,15.457320355951058,639.85,134.65,83.3,3.4797434980666346,12.582840854918164,16.31447670250896,30.387835125448028,0.4083333333333333,0.24166666666666667,678445,6246813
11,15.644804783092322,832.61,163.67000000000002,109.05,4.738672996451084,12.215442687642355,17.68517562724014,29.35264157706093,0.35833333333333334,0.25833333333333336,697003,6265742
13,15.816274150511148,504.77,93.92,63.029999999999994,4.03641577943747,12.840565955117679,17.20820430107527,30.364677419354837,0.5,0.4,711939,6248801
14,15.729278020306708,495.59999999999997,85.03333333333333,59.91111111111112,4.231101488426294,12.881067715843391,17.14432497013142,29.847833532457187,0.5555555555555556,0.4074074074074074,716421,6244820
18,15.331354509861043,696.78,116.55999999999999,93.22999999999999,3.4332655331320514,12.574086551194448,16.625448028673834,29.986924731182796,0.4166666666666667,0.275,711608,6268720
19,15.907468034122767,701.05,129.6,87.5,3.786268993767325,13.088915143810583,16.840455197132616,31.299086021505378,0.43333333333333335,0.3,729298,6274986
27,12.877103638081113,1752.28,367.81,151.60999999999999,2.4871616611049316,8.632266009852218,14.46273835125448,26.819774193548383,0.13333333333333333,0.11666666666666667,698591,6285294
31,10.750857448531878,1184.84,226.76,161.32,-0.3524039938556067,7.103690105408124,12.42590322580645,24.94875268817204,0.15833333333333333,0.08333333333333333,725262,6307566
34,15.26064704279005,639.2,106.55,91.1,2.84146406059643,13.220880740505322,15.641777777777778,30.424207885304657,0.4166666666666667,0.275,705533,6261512
35,14.798790751849499,1004.35,203.4,129.35,1.490520022246941,12.271099899359076,15.389387096774193,31.044265232974908,0.25833333333333336,0.20833333333333334,771794,6307307
37,15.755665170295037,910.95,166.35,124.65,4.365286429365963,12.1692392340696,17.64257347670251,30.1741146953405,0.30833333333333335,0.24166666666666667,732160,6284250
40,15.381624245193072,632.6,134.8,92.0,3.21318992001695,12.80473952539859,16.59115053763441,30.065691756272404,0.44166666666666665,0.3333333333333333,758295,6269713
41,14.937029348085172,713.5,114.35,100.45,4.401234307961227,11.043731659515863,17.279584229390682,28.361143369175625,0.4083333333333333,0.26666666666666666,714665,6273422
42,13.954251309876934,1117.2,217.95,144.55,1.2299602733195616,11.341064542613484,15.079290322580645,29.531856630824375,0.23333333333333334,0.15833333333333333,766043,6307499
46,15.950735986413473,493.775,101.99,65.425,4.682299247841517,12.791007998304995,18.255817204301074,28.933125448028672,0.5833333333333334,0.4083333333333333,758274,6260978
53,15.325133184799688,724.95,119.7,98.7,4.186330843794693,11.79967728693257,17.050068100358423,29.551652329749103,0.4166666666666667,0.30833333333333335,717338,6270710
54,15.988630755954588,546.27,101.38,66.03,4.2083988823560565,13.122629244133693,17.359394265232975,30.127691756272398,0.5083333333333333,0.39166666666666666,713413,6241650
56,14.937264492513728,664.3,143.95,89.0,3.4660475925631653,11.679899888765295,16.089182795698925,29.473888888888887,0.4,0.24166666666666667,669319,6247722
60,15.653774583090557,465.81000000000006,103.57000000000001,60.19,4.7598696964881615,12.625872265480162,18.232616487455196,27.64015362748733,0.55,0.425,745746,6247660
62,15.260412974292425,601.34,133.38,89.5,2.7638291223052067,12.707865353037766,16.561286738351253,30.02826523297491,0.4083333333333333,0.30833333333333335,794287,6282342
63,15.759937993272947,642.12,133.49,101.07000000000001,3.7311083743842364,12.761298797605805,18.527978494623653,28.858172043010754,0.48333333333333334,0.3416666666666667,777942,6275726
65,14.976896586595334,928.64,170.76,123.29,2.3811265109380795,12.439964102971555,16.066821899641575,30.383838387096773,0.30833333333333335,0.21666666666666667,755544,6282108
72,15.337560950659462,613.8199999999999,103.82000000000001,84.75,3.8516963292547275,12.156038587848933,17.009021505376342,29.43705734767025,0.45,0.2916666666666667,711893,6263998
75,14.63216962520084,1191.92,244.75,117.65,3.2155882197150274,11.782836882250118,15.53442652329749,29.133921146953405,0.225,0.15833333333333333,692834,6272899
