CODE_STATION,ANNEE,MOIS,TEMP_MAX_MOY,TEMP_MIN_MOY,CUMUL_PRECIP,TEMP_MAX_MAX,TEMP_MIN_MIN
3,2000,1,10.08387096774193548387096774193548387097,1.37419354838709677419354838709677419355,42,19,-6.3
3,2000,2,13.81379310344827586206896551724137931034,4.29655172413793103448275862068965517241,11.2,22,-3.2
3,2000,3,16.05806451612903225806451612903225806452,4.30322580645161290322580645161290322581,48.4,24.4,-4.3
3,2000,4,16.87666666666666666666666666666666666667,6.87,206.1,24.2,0.5
3,2000,5,22.57096774193548387096774193548387096774,10.81612903225806451612903225806451612903,120.6,28.5,4.2
3,2000,6,25.96333333333333333333333333333333333333,13.21333333333333333333333333333333333333,97.7,32,8.7
3,2000,7,26.64516129032258064516129032258064516129,13.56451612903225806451612903225806451613,42.7,32.4,6.7
3,2000,8,29.35483870967741935483870967741935483871,15.41612903225806451612903225806451612903,52.8,34.9,8.5
3,2000,9,25.11333333333333333333333333333333333333,12.48666666666666666666666666666666666667,33.5,30.2,7.1
3,2000,10,18.17419354838709677419354838709677419355,10.38387096774193548387096774193548387097,81.4,24,3.6
3,2000,11,14.1,5.67,60.7,18.3,-2.7
3,2000,12,12.48387096774193548387096774193548387097,5.5,211,18.3,-0.7
3,2001,1,10.6483870967741935483870967741935483871,3.70322580645161290322580645161290322581,177.9,17.7,-2.7
3,2001,2,12.94285714285714285714285714285714285714,2.75357142857142857142857142857142857143,15.5,18.8,-5.3
3,2001,3,17.14516129032258064516129032258064516129,6.85806451612903225806451612903225806452,115.5,23,-1.2
3,2001,4,16.93666666666666666666666666666666666667,6.84666666666666666666666666666666666667,52.2,23,-0.6
3,2001,5,23.42580645161290322580645161290322580645,10.96451612903225806451612903225806451613,22.9,35.5,3.2
3,2001,6,27.54333333333333333333333333333333333333,12.63666666666666666666666666666666666667,51.4,34.7,5.6
3,2001,7,29.32580645161290322580645161290322580645,15.19032258064516129032258064516129032258,84.3,35.6,8.8
3,2001,8,29.69677419354838709677419354838709677419,15.18064516129032258064516129032258064516,2.8,37.2,8.5
3,2001,9,22.62666666666666666666666666666666666667,11.66666666666666666666666666666666666667,223,29,3.5
3,2001,10,22.02903225806451612903225806451612903226,11.44516129032258064516129032258064516129,85.5,26.3,4.3
3,2001,11,12.38,4.79666666666666666666666666666666666667,32.4,20.1,-4.9
3,2001,12,9.86774193548387096774193548387096774194,-0.8322580645161290322580645161290322580645,4.6,17.7,-9.4
3,2002,1,11.73225806451612903225806451612903225806,1.34193548387096774193548387096774193548,56.1,18.5,-7
3,2002,2,13.20357142857142857142857142857142857143,4.50357142857142857142857142857142857143,31.7,21.1,-1.1
3,2002,3,16.15806451612903225806451612903225806452,6.28709677419354838709677419354838709677,53.6,25.4,-2.1
3,2002,4,18.65,7.27333333333333333333333333333333333333,175.2,28.6,0.3
